Set,Price_Euro,Pieces,Minifigs
Birthday Clown,9.99,Birthday Clown,Birthday Clown
Valentine's Puppy,9.99,Valentine's Puppy,Valentine's Puppy
Easter Chick,9.99,Easter Chick,Easter Chick
Halloween Ghost,9.74,Halloween Ghost,Halloween Ghost
Thanksgiving Scarecrow,9.99,Thanksgiving Scarecrow,Thanksgiving Scarecrow
"Reindeer, Elf and Elfie",19.99,"Reindeer, Elf and Elfie","Reindeer, Elf and Elfie"
Dragon Dance Guy,9.99,Dragon Dance Guy,Dragon Dance Guy
LEGO House Exclusive Minifigure 2019,,LEGO House Exclusive Minifigure 2019,LEGO House Exclusive Minifigure 2019
LEGO Store Picture Frame,14.99,LEGO Store Picture Frame,LEGO Store Picture Frame
Name Sign,9.99,Name Sign,Name Sign
Olaf's Traveling Sleigh,,Olaf's Traveling Sleigh,Olaf's Traveling Sleigh
Battle of Endor,,Battle of Endor,Battle of Endor
LEGO House Dinosaurs,,LEGO House Dinosaurs,LEGO House Dinosaurs
Lady Liberty,9.99,Lady Liberty,Lady Liberty
Xmas Accessories,3.99,Xmas Accessories,Xmas Accessories
Rebuild the World minifigure,,Rebuild the World minifigure,Rebuild the World minifigure
1989 Batmobile - Limited Edition,,1989 Batmobile - Limited Edition,1989 Batmobile - Limited Edition
Reindeer,,Reindeer,Reindeer
Plants from Plants,,Plants from Plants,Plants from Plants
Jasmine's Petite Tower,9.99,Jasmine's Petite Tower,Jasmine's Petite Tower
Cinderella's Carriage Ride,19.99,Cinderella's Carriage Ride,Cinderella's Carriage Ride
Ariel's Castle,24.99,Ariel's Castle,Ariel's Castle
Aladdin's and Jasmine's Palace Adventures,29.99,Aladdin's and Jasmine's Palace Adventures,Aladdin's and Jasmine's Palace Adventures
"Ariel, Aurora, and Tiana's Royal Celebration",44.99,"Ariel, Aurora, and Tiana's Royal Celebration","Ariel, Aurora, and Tiana's Royal Celebration"
Rapunzel's Small Tower,9.99,Rapunzel's Small Tower,Rapunzel's Small Tower
Enchanted Treehouse,48.73,Enchanted Treehouse,Enchanted Treehouse
Anna's Canoe Expedition,19.99,Anna's Canoe Expedition,Anna's Canoe Expedition
Elsa and the Reindeer Carriage,29.99,Elsa and the Reindeer Carriage,Elsa and the Reindeer Carriage
Arendelle Castle Village,79.99,Arendelle Castle Village,Arendelle Castle Village
Elsa's Jewellery Box Creation,39.99,Elsa's Jewellery Box Creation,Elsa's Jewellery Box Creation
Olaf,14.61,Olaf,Olaf
Underwater Loop,29.23,Underwater Loop,Underwater Loop
Andrea's Heart Box,7.99,Andrea's Heart Box,Andrea's Heart Box
Emma's Heart Box,7.99,Emma's Heart Box,Emma's Heart Box
Stephanie's Heart Box,7.99,Stephanie's Heart Box,Stephanie's Heart Box
Olivia's Heart Box,7.99,Olivia's Heart Box,Olivia's Heart Box
Mia's Heart Box,7.99,Mia's Heart Box,Mia's Heart Box
Heart Box Friendship Pack,19.99,Heart Box Friendship Pack,Heart Box Friendship Pack
Emma's Mobile Veterinary Clinic ,9.74,Emma's Mobile Veterinary Clinic ,Emma's Mobile Veterinary Clinic 
Mia's Foal Stable ,19.49,Mia's Foal Stable ,Mia's Foal Stable 
Heartlake City Supermarket,29.23,Heartlake City Supermarket,Heartlake City Supermarket
Mia's Forest Adventure,14.99,Mia's Forest Adventure,Mia's Forest Adventure
Stephanie's Buggy & Trailer ,19.99,Stephanie's Buggy & Trailer ,Stephanie's Buggy & Trailer 
Emma's Art Studio,24.99,Emma's Art Studio,Emma's Art Studio
Olivia's Cupcake Cafe,29.23,Olivia's Cupcake Cafe,Olivia's Cupcake Cafe
Stephanie's Horse Jumping,38.98,Stephanie's Horse Jumping,Stephanie's Horse Jumping
Andrea's Talent Show,49.99,Andrea's Talent Show,Andrea's Talent Show
Mia's House,68.23,Mia's House,Mia's House
Mia's Horse Trailer,29.23,Mia's Horse Trailer,Mia's Horse Trailer
Stephanie's Gymnastics Show,29.23,Stephanie's Gymnastics Show,Stephanie's Gymnastics Show
Funny Octopus Ride,38.98,Funny Octopus Ride,Funny Octopus Ride
Andrea's Pool Party,48.73,Andrea's Pool Party,Andrea's Pool Party
Heartlake City Amusement Pier,126.71,Heartlake City Amusement Pier,Heartlake City Amusement Pier
Turtles Rescue Mission,19.49,Turtles Rescue Mission,Turtles Rescue Mission
Dolphins Rescue Mission,38.98,Dolphins Rescue Mission,Dolphins Rescue Mission
Heartlake City Restaurant,58.48,Heartlake City Restaurant,Heartlake City Restaurant
Lighthouse Rescue Centre,58.48,Lighthouse Rescue Centre,Lighthouse Rescue Centre
Rescue Mission Boat,87.72,Rescue Mission Boat,Rescue Mission Boat
LEGO Friends Advent Calendar,24.99,LEGO Friends Advent Calendar,LEGO Friends Advent Calendar
Olivia's Hamster Playground,9.74,Olivia's Hamster Playground,Olivia's Hamster Playground
Andrea's Summer Heart Box,7.99,Andrea's Summer Heart Box,Andrea's Summer Heart Box
Emma's Summer Heart Box,7.99,Emma's Summer Heart Box,Emma's Summer Heart Box
Stephanie's Summer Heart Box,7.99,Stephanie's Summer Heart Box,Stephanie's Summer Heart Box
Olivia's Summer Heart Box,7.99,Olivia's Summer Heart Box,Olivia's Summer Heart Box
Mia's Summer Heart Box,7.99,Mia's Summer Heart Box,Mia's Summer Heart Box
Emmet,,Emmet,Emmet
Wyldstyle,,Wyldstyle,Wyldstyle
Benny,,Benny,Benny
Sweet Mayhem,,Sweet Mayhem,Sweet Mayhem
Cherry Picker,9.74,Cherry Picker,Cherry Picker
Power Boat,14.99,Power Boat,Power Boat
Getaway Truck,19.99,Getaway Truck,Getaway Truck
Police Pursuit,19.49,Police Pursuit,Police Pursuit
Rescue Helicopter,29.99,Rescue Helicopter,Rescue Helicopter
Chevrolet Corvette ZR1,39.99,Chevrolet Corvette ZR1,Chevrolet Corvette ZR1
Tracked Loader,59.99,Tracked Loader,Tracked Loader
Remote-Controlled Stunt Racer,79.99,Remote-Controlled Stunt Racer,Remote-Controlled Stunt Racer
Porsche 911 RSR,199.99,Porsche 911 RSR,Porsche 911 RSR
Compact Crawler Crane,87.72,Compact Crawler Crane,Compact Crawler Crane
Car Transporter,149.99,Car Transporter,Car Transporter
4x4 X-Treme Off-Roader,229.99,4x4 X-Treme Off-Roader,4x4 X-Treme Off-Roader
Liebherr R 9800,449.99,Liebherr R 9800,Liebherr R 9800
Land Rover Defender,199.99,Land Rover Defender,Land Rover Defender
Elsa's Ice Palace,69.99,Elsa's Ice Palace,Elsa's Ice Palace
City Shaper Challenge Kit,,City Shaper Challenge Kit,City Shaper Challenge Kit
BOOMTOWN BUILD Inspire Set,,BOOMTOWN BUILD Inspire Set,BOOMTOWN BUILD Inspire Set
BOOMTOWN BUILD Discovery Set,,BOOMTOWN BUILD Discovery Set,BOOMTOWN BUILD Discovery Set
Ski Resort,77.97,Ski Resort,Ski Resort
Jet Patrol,9.74,Jet Patrol,Jet Patrol
Sky Police Drone Chase,19.49,Sky Police Drone Chase,Sky Police Drone Chase
Parachute Arrest,29.23,Parachute Arrest,Parachute Arrest
Diamond Heist,49.99,Diamond Heist,Diamond Heist
Air Base,73.1,Air Base,Air Base
Barbecue Burn Out,9.74,Barbecue Burn Out,Barbecue Burn Out
Dock Side Fire,14.61,Dock Side Fire,Dock Side Fire
Burger Bar Fire Rescue,29.99,Burger Bar Fire Rescue,Burger Bar Fire Rescue
Fire Station,59.99,Fire Station,Fire Station
Downtown Fire Brigade,99.99,Downtown Fire Brigade,Downtown Fire Brigade
Fire Plane,38.98,Fire Plane,Fire Plane
Desert Rally Racer,9.99,Desert Rally Racer,Desert Rally Racer
Construction Loader,9.99,Construction Loader,Construction Loader
Garbage Truck,19.99,Garbage Truck,Garbage Truck
Diving Yacht,19.99,Diving Yacht,Diving Yacht
Snow Groomer,19.49,Snow Groomer,Snow Groomer
Harvester Transport,29.99,Harvester Transport,Harvester Transport
Satellite Service Mission,9.74,Satellite Service Mission,Satellite Service Mission
Rover Testing Drive,19.49,Rover Testing Drive,Rover Testing Drive
Mars Research Shuttle,29.99,Mars Research Shuttle,Mars Research Shuttle
Lunar Space Station,48.73,Lunar Space Station,Lunar Space Station
Deep Space Rocket and Launch Control,99.99,Deep Space Rocket and Launch Control,Deep Space Rocket and Launch Control
Rocket Assembly & Transport,129.99,Rocket Assembly & Transport,Rocket Assembly & Transport
People Pack - Space Research and Development,38.98,People Pack - Space Research and Development,People Pack - Space Research and Development
Fire Chief Response Truck,19.49,Fire Chief Response Truck,Fire Chief Response Truck
